Hẹp động mạch thận phải có tiến hành hiến thận được không ?	disease* Hẹp động mạch thận *disease phải có tiến hành procedure* hiến thận *procedure được không ?
U xơ tử cung tái phát , phải làm sao ?	disease* U xơ tử cung *disease tái phát , phải làm sao ?
Làm sao để hết chảy dịch vàng trong tai ?	Làm sao để hết disease* chảy dịch vàng *disease trong tai ?
Trẻ đã dậy thì nhưng không phát triển về chiều cao và cân nặng	Trẻ đã dậy thì nhưng disease* không phát triển về chiều cao và cân nặng *disease
Trẻ bị ngã , chụp CT bị tụ máu dưới màng cứng não kèm vỡ xương có nguy hiểm không ?	Trẻ bị ngã , procedure* chụp CT *procedure bị disease* tụ máu dưới màng cứng não *disease kèm disease* vỡ xương *disease có nguy hiểm không ?
Thoát vị đĩa đệm ở người già có thể giảm đau bằng tiêm thuốc ngoài màng cứng không ?	disease* Thoát vị đĩa đệm *disease ở người già có thể giảm đau bằng procedure* tiêm thuốc ngoài màng cứng *procedure không ?
Có thể uống thuốc tẩy giun khi đang cho con bú không ?	Có thể uống drug* thuốc tẩy giun *drug khi đang cho con bú không ?
Tiêm vắc-xin viêm gan B có kháng thể chống viêm gan A không ?	procedure* Tiêm vắc-xin *procedure disease* viêm gan B *disease có kháng thể chống disease* viêm gan A *disease không ?
Polyp túi mật 0,9 mm có phải mổ không ?	Polyp túi mật 0,9 mm có phải procedure* mổ *procedure không ?
Đang uống vitamin tổng hợp trong 3 tháng đầu thai kỳ liệu có cần bổ sung thêm sắt không ?	Đang uống drug* vitamin tổng hợp *drug trong 3 tháng đầu thai kỳ liệu có cần bổ sung thêm drug* sắt *drug không ?
Cách tính ngày dự sinh chính xác theo chu kỳ kinh nguyệt là gì ?	Cách tính ngày dự sinh chính xác theo chu kỳ kinh nguyệt là gì ?
Cơ thể mệt mỏi , đau nhức cơ liên tục cảnh báo vấn đề gì ?	Cơ thể disease* mệt mỏi *disease , disease* đau nhức cơ *disease liên tục cảnh báo vấn đề gì ?
Để phòng bệnh sỏi thận , chúng ta phải có lối sống sinh hoạt như thế nào ?	Để phòng bệnh disease* sỏi thận *disease , chúng ta phải có lối sống sinh hoạt như thế nào ?
Tiểu rắt , tiểu buốt lâu ngày không khỏi phải làm sao ?	disease* Tiểu rắt *disease , disease* tiểu buốt *disease lâu ngày không khỏi phải làm sao ?
Vitamin E có tác dụng như thế nào đến mẹ và thai nhi ?	drug* Vitamin E *drug có tác dụng như thế nào đến mẹ và thai nhi ?
Trẻ sơ sinh đi ngoài nhiều lần , phân lỏng phải làm sao ?	Trẻ sơ sinh disease* đi ngoài nhiều lần *disease , disease* phân lỏng *disease phải làm sao ?
Bị chóng mặt mỗi khi nằm xuống là triệu chứng của bệnh lý gì ?	Bị disease* chóng mặt *disease mỗi khi nằm xuống là triệu chứng của bệnh lý gì ?
Zona thần kinh mạn tính có chữa khỏi dứt điểm được không ?	disease* Zona thần kinh mạn tính *disease có chữa khỏi dứt điểm được không ?
Có thuốc điều trị bệnh trầm cảm không gây buồn ngủ không ?	Có thuốc điều trị bệnh disease* trầm cảm *disease không gây disease* buồn ngủ *disease không ?
Chỉ số chức năng thận 144 thể hiện điều gì ?	Chỉ số chức năng thận 144 thể hiện điều gì ?
U nang buồng trứng có khả năng mang thai không ?	disease* U nang buồng trứng *disease có khả năng disease* mang thai *disease không ?
Bé gái 9 tuổi phát triển ngực có phải dậy thì sớm ?	Bé gái 9 tuổi disease* phát triển ngực *disease có phải disease* dậy thì sớm *disease ?
Trẻ sốt cao tay chân lạnh phải làm sao ?	Trẻ disease* sốt *disease cao tay chân lạnh phải làm sao ?
Hở van động mạch chủ 3/4 , chức năng tâm thất trái 68% có cần can thiệp mổ không ?	disease* Hở van động mạch chủ 3/4 *disease , disease* chức năng tâm thất trái 68% *disease có cần can thiệp procedure* mổ *procedure không ?
Teo tinh hoàn do mắc bệnh quai bị có thể sinh con được không ?	disease* Teo tinh hoàn *disease do mắc bệnh disease* quai bị *disease có thể sinh con được không ?
Nguyên nhân gây đau dạ dày và hướng điều trị hiệu quả	Nguyên nhân gây disease* đau dạ dày *disease và hướng điều trị hiệu quả
Trẻ chảy máu cam nhiều lần có nguy hiểm không ?	Trẻ disease* chảy máu cam *disease nhiều lần có nguy hiểm không ?
Nhổ răng còn sót chân răng có sao không ?	procedure* Nhổ răng *procedure còn sót chân răng có sao không ?
Đau đầu kèm theo ù tai , sợ âm thanh lớn là dấu hiệu bệnh gì ?	disease* Đau đầu *disease kèm theo disease* ù tai *disease , disease* sợ âm thanh lớn *disease là dấu hiệu bệnh gì ?
Mề đay mẩn ngứa , phải làm gì cho nhanh khỏi ?	disease* Mề đay mẩn ngứa *disease , phải làm gì cho nhanh khỏi ?
Cách chữa trị bệnh hở van 3 lá và hẹp van động mạch chủ	Cách chữa trị bệnh disease* hở van 3 lá *disease và disease* hẹp van động mạch chủ *disease
Trẻ bị giật cơ có trị khỏi dứt điểm được không ?	disease* Trẻ bị giật cơ *disease có trị khỏi dứt điểm được không ?
Chỉ số AFP là 390 liệu có nguy cơ ung thư gan không ?	Chỉ số AFP là procedure* 390 *procedure liệu có nguy cơ disease* ung thư gan *disease không ?
Tiếp xúc với người bệnh thuỷ đậu có lây không ?	Tiếp xúc với người bệnh disease* thuỷ đậu *disease có lây không ?
Khi nào khỏi hẳn sốt xuất huyết ?	Khi nào khỏi hẳn disease* sốt xuất huyết *disease ?
Bé gái 7 tháng nặng 7kg có suy dinh dưỡng không ?	Bé gái disease* 7 tháng nặng 7kg *disease có disease* suy dinh dưỡng *disease không ?
Bé bị bệnh viêm màng lông mi dưới có cần phẫu thuật không ?	Bé bị bệnh disease* viêm màng lông mi dưới *disease có cần procedure* phẫu thuật *procedure không ?
Nóng rát cổ họng , đau đầu , mệt mỏi , sốt li bì cảnh báo bệnh lý gì ?	disease* Nóng rát cổ họng *disease , disease* đau đầu *disease , disease* mệt mỏi *disease , disease* sốt *disease li bì cảnh báo bệnh lý gì ?
Nóng ruột , đổ mồ hôi , mất ngủ , nghẹn cổ họng là dấu hiệu bệnh gì ?	disease* Nóng ruột *disease , disease* đổ mồ hôi *disease , disease* mất ngủ *disease , disease* nghẹn cổ họng *disease là dấu hiệu bệnh gì ?
Trẻ sơ sinh khó ngủ , ngủ không sâu giấc cần cải thiện thế nào ?	Trẻ sơ sinh disease* khó ngủ *disease , disease* ngủ không sâu giấc *disease cần cải thiện thế nào ?
Quên uống thuốc tránh thai hàng ngày 1 hôm có thể thụ thai không ?	Quên uống drug* thuốc tránh thai *drug hàng ngày 1 hôm có thể disease* thụ thai *disease không ?
Đau nửa đầu bên trái , nhức hốc mắt kèm ù tai chóng mặt và buồn nôn là biểu hiện bệnh gì ?	disease* Đau nửa đầu bên trái *disease , disease* nhức hốc mắt *disease kèm disease* ù tai *disease disease* chóng mặt *disease và disease* buồn nôn *disease là biểu hiện bệnh gì ?
Hôi miệng nặng dù đã vệ sinh kỹ lưỡng , phải làm thế nào ?	disease* Hôi miệng nặng *disease dù đã vệ sinh kỹ lưỡng , phải làm thế nào ?
Vàng mắt , đau hông là dấu hiệu bệnh lý gì ?	disease* Vàng mắt , đau hông *disease là dấu hiệu bệnh lý gì ?
Kết quả xét nghiệm định lượng Cyfra 21-1 bao nhiêu là bình thường ?	Kết quả procedure* xét nghiệm *procedure định lượng Cyfra 21-1 bao nhiêu là bình thường ?
Trẻ 4 tháng tuổi cổ chưa cứng hoàn toàn , môi nhợt nhạt có phải bị bại não ?	Trẻ 4 tháng tuổi disease* cổ chưa cứng hoàn toàn *disease , disease* môi nhợt nhạt *disease có phải bị disease* bại não *disease ?
Nguyên nhân màu và mùi phân trẻ sơ sinh bất thường là gì ?	Nguyên nhân disease* màu và mùi phân trẻ sơ sinh *disease bất thường là gì ?
Mang thai ngay sau khi tiêm phòng viêm gan B có ảnh hưởng gì không ?	disease* Mang thai *disease ngay sau khi procedure* tiêm phòng *procedure disease* viêm gan B *disease có ảnh hưởng gì không ?
Ra mồ hôi mông nên khắc phục thế nào ?	disease* Ra mồ hôi mông *disease nên khắc phục thế nào ?
Làm thế nào khi người bệnh lao màng phổi , suy tim bị ho nhiều ?	Làm thế nào khi người bệnh disease* lao màng phổi *disease , disease* suy tim *disease bị disease* ho *disease nhiều ?
Mồ hôi lòng bàn tay , bàn chân ra nhiều điều trị thế nào ?	disease* Mồ hôi lòng bàn tay , bàn chân ra nhiều *disease điều trị thế nào ?
Làm sao để vượt qua trạng thái stress , căng thẳng ?	Làm sao để vượt qua trạng thái disease* stress *disease , disease* căng thẳng *disease ?
Độ nhớt của máu là 4.38 mPa có cao quá không ?	Độ nhớt của máu là 4.38 mPa có cao quá không ?
Liệt dây thần kinh số 7 có có thể chữa được không ?	disease* Liệt dây thần kinh số 7 *disease có có thể chữa được không ?
Trẻ ngủ hay giật mình do đâu và khắc phục thế nào ?	Trẻ ngủ hay disease* giật mình *disease do đâu và khắc phục thế nào ?
Trẻ 3 tuổi không chịu nói phải làm sao ?	Trẻ 3 tuổi disease* không chịu nói *disease phải làm sao ?
Chó cắn vào sống mũi , sau tiêm ngừa dại bị sưng húp mắt có sao không ?	disease* Chó cắn *disease vào sống mũi , sau procedure* tiêm ngừa dại *procedure bị disease* sưng húp mắt *disease có sao không ?
Nhiễm vi khuẩn HP điều trị như thế nào ?	disease* Nhiễm vi khuẩn HP *disease điều trị như thế nào ?
Tư vấn kết quả xét nghiệm men gan AST , ALT và GGT	Tư vấn kết quả procedure* xét nghiệm men gan AST *procedure , procedure* ALT *procedure và procedure* GGT *procedure
Nên cắt bỏ trĩ bằng phương pháp nào ?	Nên procedure* cắt bỏ trĩ *procedure bằng phương pháp nào ?
Trẻ bị viêm da cơ địa cần được chăm sóc như thế nào ?	Trẻ bị disease* viêm da cơ địa *disease cần được chăm sóc như thế nào ?
Trẻ sơ sinh ngủ giật mình nhiều có phải là dấu hiệu bệnh lý ?	Trẻ sơ sinh ngủ disease* giật mình *disease nhiều có phải là dấu hiệu bệnh lý ?
Cải thiện tình trạng tức ngực , khó thở thế nào ?	Cải thiện tình trạng disease* tức ngực *disease , disease* khó thở *disease thế nào ?
Ho kèm tức ngực khó thở là biểu hiện của bệnh gì ?	disease* Ho *disease kèm disease* tức ngực *disease disease* khó thở *disease là biểu hiện của bệnh gì ?
Vết bỏng gần 1 tháng vẫn chưa khô có phải nhiễm trùng ?	Vết disease* bỏng gần 1 tháng vẫn chưa khô *disease có phải disease* nhiễm trùng *disease ?
Lượng đường ảnh hưởng như thế nào đến việc hấp thụ vitamin nhóm A , B và canxi ?	Lượng đường ảnh hưởng như thế nào đến việc hấp thụ vitamin nhóm A , B và canxi ?
Hỏi đáp : Triệu chứng mệt mỏi và khó thở là dấu hiệu bệnh gì ?	Hỏi đáp : Triệu chứng disease* mệt mỏi *disease và disease* khó thở *disease là dấu hiệu bệnh gì ?
Trẻ 7 tuổi thường xuyên nôn trớ vào ban đêm cần điều trị như thế nào ?	Trẻ 7 tuổi thường xuyên disease* nôn trớ *disease vào ban đêm cần điều trị như thế nào ?
Dấu hiệu sưng nhức ở đầu móng tay phía da cảnh báo bệnh gì ?	Dấu hiệu disease* sưng nhức ở đầu móng tay phía da *disease cảnh báo bệnh gì ?
Bệnh viêm phế quản cấp có chữa khỏi được không ?	Bệnh disease* viêm phế quản cấp *disease có chữa khỏi được không ?
Đau thượng vị kèm khó nuốt là dấu hiệu bệnh gì ?	disease* Đau thượng vị *disease kèm disease* khó nuốt *disease là dấu hiệu bệnh gì ?
Trẻ nghiến răng khi ngủ điều trị thế nào ?	Trẻ disease* nghiến răng khi ngủ *disease điều trị thế nào ?
Hỏi đáp : Trẻ bị rôm sảy có tắm được rượu trắng 50 độ không ?	Hỏi đáp : Trẻ bị disease* rôm sảy *disease có tắm được rượu trắng 50 độ không ?
Thuỳ phải , thuỳ trái có nhân hỗn hợp liệu tuyến giáp có vấn đề gì không ?	Thuỳ phải , thuỳ trái có nhân hỗn hợp liệu disease* tuyến giáp *disease có vấn đề gì không ?
Tỷ lệ cơ thể trẻ sơ sinh như thế nào là tốt ?	Tỷ lệ cơ thể trẻ sơ sinh như thế nào là tốt ?
Phải làm sao khi trẻ sơ sinh bị thiếu men G6PD ?	Phải làm sao khi trẻ sơ sinh bị disease* thiếu men G6PD *disease ?
Những loại thuốc tránh thai hằng ngày nào dùng được cho phụ nữ cho con bú ?	Những loại drug* thuốc tránh thai *drug hằng ngày nào dùng được cho phụ nữ cho con bú ?
Đã tiêm phòng mũi đầu vắc-xin 6 trong 1 , mũi tiếp theo có thể tiêm vắc-xin 5 trong 1 không ?	Đã procedure* tiêm phòng *procedure mũi đầu vắc-xin drug* 6 trong 1 *drug , mũi tiếp theo có thể tiêm vắc-xin 5 trong 1 không ?
U tuyến yên có nhất thiết phải phẫu thuật ?	disease* U tuyến yên *disease có nhất thiết phải phẫu thuật ?
Bé 44 tuần sinh non ăn hay bị trớ , không tăng cân nguyên nhân do đâu ?	Bé 44 tuần sinh non ăn hay bị trớ , disease* không tăng cân *disease nguyên nhân do đâu ?
Trẻ bị viêm đường ruột kéo dài hơn 4 ngày có nguy hiểm không ?	Trẻ bị disease* viêm đường ruột *disease kéo dài hơn 4 ngày có nguy hiểm không ?
Hướng dẫn tẩy giun kim cho trẻ hiệu quả , ngăn ngừa tái phát	Hướng dẫn procedure* tẩy giun kim *procedure cho trẻ hiệu quả , ngăn ngừa tái phát
Trẻ 2 tuổi ăn sữa non Colosbaby được không ?	Trẻ 2 tuổi ăn drug* sữa non Colosbaby *drug được không ?
CRP định lượng tăng 17.43 , WBC 17.6 , NEU 12.7 có nguy hiểm không ?	CRP định lượng tăng 17.43 , WBC 17.6 , NEU 12.7 có nguy hiểm không ?
Ra huyết trắng có phải dấu hiệu của quá trình rụng trứng ?	disease* Ra huyết trắng *disease có phải dấu hiệu của quá trình rụng trứng ?
Trẻ sơ sinh xuất hiện vết đỏ ở kẽ chân có nên điều trị sớm không ?	Trẻ sơ sinh disease* xuất hiện vết đỏ ở kẽ chân *disease có nên điều trị sớm không ?
Trẻ sơ sinh sốt liên tục trong 3 ngày có nguy hiểm không ?	Trẻ sơ sinh disease* sốt *disease liên tục trong 3 ngày có nguy hiểm không ?
Trẻ 3 tháng bị bại não cấy tế bào gốc có khỏi hoàn toàn không và chi phí điều trị thế nào ?	Trẻ 3 tháng bị disease* bại não *disease procedure* cấy tế bào gốc *procedure có khỏi hoàn toàn không và chi phí điều trị thế nào ?
Người mắc bệnh hen phế quản có mang thai được không ?	Người mắc bệnh disease* hen phế quản *disease có disease* mang thai *disease được không ?
Ho ra máu kèm đau bụng bên hông sườn phải là bệnh gì ?	disease* Ho ra máu *disease kèm disease* đau bụng *disease bên hông sườn phải là bệnh gì ?
Chóng mặt buồn nôn và đau bụng chậm kinh là bệnh gì ?	disease* Chóng mặt *disease disease* buồn nôn *disease và disease* đau bụng *disease disease* chậm kinh *disease là bệnh gì ?
Điều trị bệnh quai bị bao lâu thì hết hẳn và không lây sang người khác ?	Điều trị bệnh disease* quai bị *disease bao lâu thì hết hẳn và không lây sang người khác ?
Có cách nào làm phẳng sẹo lồi không ?	Có cách nào làm disease* phẳng sẹo lồi *disease không ?
Đau ở trong giữa xương sườn bên trái có phải dấu hiệu bệnh gan ?	disease* Đau ở trong giữa xương sườn bên trái *disease có phải dấu hiệu disease* bệnh gan *disease ?
Chỉ số đường huyết bao nhiêu được gọi là tiểu đường ?	Chỉ số đường huyết bao nhiêu được gọi là disease* tiểu đường *disease ?
Xe đẩy chuyển động mạnh có làm trẻ bị hội chứng rung lắc không ?	disease* Xe đẩy chuyển động mạnh *disease có làm trẻ bị disease* hội chứng rung lắc *disease không ?
Nếu trẻ bú tốt và mẹ đủ sữa liệu bé có tăng cân chuẩn không ?	Nếu trẻ bú tốt và mẹ đủ sữa liệu bé có tăng cân chuẩn không ?
Vùng kín bé gái 9 tháng tuổi rộng hơn có phải dấu hiệu bị xâm hại tình dục ?	disease* Vùng kín bé gái 9 tháng tuổi rộng *disease hơn có phải dấu hiệu bị disease* xâm hại tình dục *disease ?
Thận móng ngựa , giãn bể thận có khiến thai nhi ngừng phát triển ?	disease* Thận móng ngựa *disease , disease* giãn bể thận *disease có khiến thai nhi ngừng phát triển ?
Vì sao tinh hoàn chưa xuống bìu khi trẻ 9 tuổi ?	Vì sao disease* tinh hoàn chưa xuống bìu *disease khi trẻ 9 tuổi ?
Bàng quang thần kinh ở trẻ phải làm sao ?	disease* Bàng quang thần kinh *disease ở trẻ phải làm sao ?
Mới chọc hút trứng ngày thứ 3 , bao lâu sẽ đặt được phôi ?	Mới procedure* chọc hút trứng *procedure ngày thứ 3 , bao lâu sẽ đặt được phôi ?
Trẻ 4 tháng thường xuyên tiêu chảy kèm bụng to nên điều trị thế nào ?	Trẻ 4 tháng thường xuyên disease* tiêu chảy *disease kèm disease* bụng to *disease nên điều trị thế nào ?
Thường xuyên đau bụng dưới là dấu hiệu của bệnh gì ?	Thường xuyên disease* đau bụng dưới *disease là dấu hiệu của bệnh gì ?
Sâu răng khi mang thai phải làm sao để bớt đau ?	disease* Sâu răng *disease khi mang thai phải làm sao để bớt disease* đau *disease ?
Khi nào nên bổ sung vitamin C dạng uống và dạng tiêm ?	Khi nào nên bổ sung drug* vitamin C *drug dạng uống và dạng tiêm ?
Bị nóng vùng ngực cổ , ăn không ngon miệng là dấu hiệu bệnh lý gì ?	Bị disease* nóng vùng ngực cổ *disease , disease* ăn không ngon miệng *disease là dấu hiệu bệnh lý gì ?
Đánh giá kết quả xét nghiệm bệnh suy thận	Đánh giá kết quả procedure* xét nghiệm *procedure bệnh disease* suy thận *disease
Bé 10 tháng tuổi nổi hạch sau tai và cổ ngày càng nhiều có nguy hiểm không ?	Bé 10 tháng tuổi disease* nổi hạch *disease sau tai và cổ ngày càng nhiều có nguy hiểm không ?
Nổi mụn bắp tay là bệnh gì có nguy hiểm không ?	disease* Nổi mụn bắp tay *disease là bệnh gì có nguy hiểm không ?
Xuất tinh ít có ảnh hưởng gì đến khả năng thụ thai không ?	disease* Xuất tinh ít *disease có ảnh hưởng gì đến khả năng thụ thai không ?
Hỏi đáp : Sau khi thực hiện , nội soi dạ dày có ảnh hưởng gì không ?	Hỏi đáp : Sau khi thực hiện , procedure* nội soi dạ dày *procedure có ảnh hưởng gì không ?
Thai chưa làm tổ có thể chụp X Quang không ?	disease* Thai chưa làm tổ *disease có thể procedure* chụp X Quang *procedure không ?
Thai 7 tuần tuổi chưa có tim thai có phải dấu hiệu của thai hỏng ?	Thai 7 tuần tuổi disease* chưa có tim thai *disease có phải dấu hiệu của disease* thai hỏng *disease ?
Trẻ 20 tháng có dấu hiệu tăng động giảm chú ý , phải làm sao ?	Trẻ 20 tháng có dấu hiệu disease* tăng động giảm chú ý *disease , phải làm sao ?
Người cao tuổi bị chó ngoài đường cắn có cần tiêm vắc-xin phòng dại không ?	Người cao tuổi bị chó ngoài đường cắn có cần procedure* tiêm procedure* *procedure vắc-xin *procedure phòng disease* dại *disease không ?
Xuất hiện nốt xuất huyết ở chân , tay là do đâu ?	Xuất hiện disease* nốt xuất huyết *disease ở chân , tay là do đâu ?
Mất ngủ , khó ngủ lâu ngày do vấn đề tâm lý cần phải làm sao ?	disease* Mất ngủ *disease , disease* khó ngủ *disease lâu ngày do vấn đề tâm lý cần phải làm sao ?
Ngứa vòm miệng , sổ mũi lâu ngày liệu có đáng lo ngại ?	disease* Ngứa vòm miệng *disease , disease* sổ mũi *disease lâu ngày liệu có đáng lo ngại ?
Chỉ số huyết áp cho biết điều gì ?	Chỉ số huyết áp cho biết điều gì ?
Phụ nữ cho con bú có nên ăn măng tây không ?	Phụ nữ cho con bú có nên ăn măng tây không ?
Rối loạn kinh nguyệt sau sinh có đáng lo ?	disease* Rối loạn kinh nguyệt sau sinh *disease có đáng lo ?
Điều trị rối loạn giấc ngủ Anxiety bao lâu mới hết bệnh ?	Điều trị disease* rối loạn giấc ngủ Anxiety *disease bao lâu mới hết bệnh ?
Bệnh phù phổi cấp nên xử trí như thế nào ?	disease* Bệnh phù phổi *disease cấp nên xử trí như thế nào ?
Nổi ban đỏ sau khi tiêm mũi 6 in 1 là bị làm sao ?	disease* Nổi ban đỏ *disease sau khi procedure* tiêm *procedure mũi 6 in 1 là bị làm sao ?
Trẻ 1 tháng tuổi chưa hết vàng da liệu có nguy hiểm không ?	disease* Trẻ 1 tháng tuổi chưa hết vàng da *disease liệu có nguy hiểm không ?
Quan hệ không dùng bao cao su với người mắc HIV có khả năng lây nhiễm HIV không ?	Quan hệ không dùng bao cao su với người mắc disease* HIV *disease có khả năng lây nhiễm disease* HIV *disease không ?
Trẻ bị sốt và tiêu chảy sau khi uống thuốc đau bụng , phải làm sao ?	Trẻ bị disease* sốt *disease và disease* tiêu chảy *disease sau khi uống drug* thuốc đau bụng *drug , phải làm sao ?
Mẹ bị thuỷ đậu có lây nhiễm cho bé không ?	Mẹ bị disease* thuỷ đậu *disease có lây nhiễm cho bé không ?
Trẻ bị ho có sao không ?	Trẻ bị disease* ho *disease có sao không ?
Đau ngực trái kèm theo khó thở là dấu hiệu của bệnh gì ?	disease* Đau ngực trái *disease kèm theo disease* khó thở *disease là dấu hiệu của bệnh gì ?
Quan hệ sau khi uống thuốc tránh thai khẩn cấp và trong ngày đèn đỏ có thai được không ?	Quan hệ sau khi uống drug* thuốc tránh thai khẩn cấp *drug và trong ngày đèn đỏ có thai được không ?
Trẻ nôn trớ sau ăn , nổi mẩn ngứa trên người và mặt có phải dị ứng sữa công thức ?	Trẻ disease* nôn trớ *disease sau ăn , disease* nổi mẩn ngứa *disease trên người và mặt có phải dị ứng sữa công thức ?
Nên làm gì khi thai 35 tuần được chẩn đoán đa ối ?	Nên làm gì khi thai 35 tuần được chẩn đoán disease* đa ối *disease ?
Làm sao để không bị nám , sạm da khi mang thai ?	Làm sao để không bị disease* nám *disease , disease* sạm da *disease khi mang thai ?
Tim thai nhi tuần 9 bao nhiêu là bình thường ?	disease* Tim thai nhi *disease tuần 9 bao nhiêu là bình thường ?
Hỏi đáp : Đi ngoài ra máu đỏ tươi có cần đi nội soi không ?	Hỏi đáp : disease* Đi ngoài ra máu đỏ tươi *disease có cần đi procedure* nội soi *procedure không ?
Quan hệ ngay sau kỳ kinh nguyệt liệu có khả năng mang thai không ?	procedure* Quan hệ ngay sau kỳ kinh nguyệt *procedure liệu có khả năng disease* mang thai *disease không ?
Thai máy và cơn gò tử cung kéo dài nhiều giờ thì có gì bất thường không ?	Thai máy và disease* cơn gò tử cung kéo dài *disease nhiều giờ thì có gì bất thường không ?
Điều trị mất khứu giác do viêm xoang như thế nào ?	Điều trị disease* mất khứu giác *disease do disease* viêm xoang *disease như thế nào ?
Hạch ngã 3 khí quản sau điều trị K đại tràng có phải di căn ?	disease* Hạch ngã 3 khí quản *disease sau điều trị disease* K đại tràng *disease có phải disease* di căn *disease ?
Trễ tái khám để thay thuốc chữa sâu răng có sao không ?	Trễ tái khám để thay drug* thuốc chữa sâu răng *drug có sao không ?
Liệt dây thần kinh số VII mất bao lâu để hồi phục ?	disease* Liệt dây thần kinh số VII *disease mất bao lâu để hồi phục ?
Bé bị rơi đồ vào đầu cần làm những gì để kiểm tra não bộ có ảnh hưởng không ?	Bé bị rơi đồ vào đầu cần làm những gì để kiểm tra não bộ có ảnh hưởng không ?
Người mệt mỏi , nổi mẩn đỏ có phải dấu hiệu mắc bệnh thận không ?	Người disease* mệt mỏi *disease , disease* nổi mẩn đỏ *disease có phải dấu hiệu mắc disease* bệnh thận *disease không ?
Khắc phục tình trạng hôi miệng như thế nào ?	Khắc phục tình trạng disease* hôi miệng *disease như thế nào ?
Điều trị u mềm lây trên mặt cho trẻ như thế nào ?	Điều trị disease* u mềm lây *disease trên mặt cho trẻ như thế nào ?
Chỉ số bạch cầu trung tính 6.56 G / l có bình thường không ?	Chỉ số bạch cầu trung tính 6.56 G / l có bình thường không ?
Chóng mặt , không hoa mắt , ù tai là dấu hiệu bệnh gì ?	disease* Chóng mặt *disease , disease* không hoa mắt *disease , disease* ù tai *disease là dấu hiệu bệnh gì ?
Hỏi đáp : Bị zona ở mắt dùng thuốc gì để tránh sẹo ?	Hỏi đáp : Bị disease* zona ở mắt *disease dùng thuốc gì để tránh disease* sẹo *disease ?
Đau bụng bên phải dưới rốn kéo dài , nguyên nhân do đâu ?	disease* Đau bụng *disease bên phải dưới rốn kéo dài , nguyên nhân do đâu ?
Nguyên nhân và điều trị tình trạng ngứa khắp người trong thời gian dài	Nguyên nhân và điều trị tình trạng disease* ngứa khắp người *disease trong thời gian dài
Đi tiểu nhiều lần kèm đau bụng dưới rốn là dấu hiệu bệnh gì ?	disease* Đi tiểu nhiều lần *disease kèm disease* đau bụng dưới rốn *disease là dấu hiệu bệnh gì ?
Mắc u nang lành tính có được uống thực phẩm chức năng làm trẻ hoá da không ?	Mắc disease* u nang lành tính *disease có được uống thực phẩm chức năng làm trẻ hoá da không ?
Amylase , Lipase máu có chỉ số 1147.0 , 1771.6 là dấu hiệu viêm tuỵ cấp phải không ?	Amylase , Lipase máu có chỉ số 1147.0 , 1771.6 là dấu hiệu disease* viêm tuỵ cấp *disease phải không ?
Trẻ 2 tuổi viêm phế quản có kiểm tra chức năng thở được không ?	Trẻ 2 tuổi disease* viêm phế quản *disease có kiểm tra chức năng thở được không ?
Trẻ giật mình khi ngủ có phải bệnh lý ?	Trẻ disease* giật mình khi ngủ *disease có phải bệnh lý ?
Tỉnh ngủ nhưng không cử động được có phải là tai biến thoáng qua không ?	disease* Tỉnh ngủ *disease nhưng disease* không cử động được *disease có phải là disease* tai biến *disease thoáng qua không ?
Bệnh nhân bị u não có thể sống được bao lâu ạ ?	Bệnh nhân bị disease* u não *disease có thể sống được bao lâu ạ ?
Đau đầu nên uống thuốc gì cho hiệu quả ?	disease* Đau đầu *disease nên uống thuốc gì cho hiệu quả ?
Trẻ 15 tuổi thích xem phim sex gay có phải bị lệch lạc về giới tính ?	Trẻ 15 tuổi thích xem phim sex gay có phải bị disease* lệch lạc về giới tính *disease ?
Đau nhức vùng chậu và khớp háng bên trái là do đâu ?	disease* Đau nhức vùng chậu *disease và khớp háng bên trái là do đâu ?
Hỏi đáp : Nội soi đại tràng cần chuẩn bị gì để có kết quả tốt nhất ?	Hỏi đáp : procedure* Nội soi đại tràng *procedure cần chuẩn bị gì để có kết quả tốt nhất ?
Rối loạn giới tính ở trẻ em	disease* Rối loạn giới tính *disease ở trẻ em
Có nên đeo nẹp răng cho trẻ 9 tuổi không ?	Có nên đeo procedure* nẹp răng *procedure cho trẻ 9 tuổi không ?
Tăng tiết mồ hôi , khó thở khi nằm nghiêng , mắt ngày càng lồi có phải bệnh cường giáp ?	disease* Tăng tiết mồ hôi *disease , disease* khó thở *disease khi nằm nghiêng , disease* mắt ngày càng lồi *disease có phải bệnh disease* cường giáp *disease ?
Có thể lấy nước đun sôi để nguội 1 ngày pha sữa cho bé không ?	Có thể lấy nước đun sôi để nguội 1 ngày pha sữa cho bé không ?
Đánh giá tình trạng bệnh bướu cổ thông qua kết quả xét nghiệm	Đánh giá tình trạng bệnh disease* bướu cổ *disease thông qua kết quả procedure* xét nghiệm *procedure
Hướng dẫn uống thuốc tẩy giun Combantrin ở trẻ nhỏ và người lớn	Hướng dẫn uống drug* thuốc tẩy giun Combantrin *drug ở trẻ nhỏ và người lớn
Uống thuốc tránh thai hàng ngày quá liều có ảnh hưởng đến thai nhi không ?	Uống drug* thuốc tránh thai *drug hàng ngày quá liều có ảnh hưởng đến thai nhi không ?
Bị khó chịu ở lưỡi phải làm gì ?	Bị disease* khó chịu ở lưỡi *disease phải làm gì ?
