Hẹp động_mạch thận phải có tiến_hành hiến thận được không ?	disease* Hẹp động_mạch thận *disease phải có tiến_hành procedure* hiến thận *procedure được không ?
Dấu_hiệu thủng màng_nhĩ ở trẻ là gì ?	Dấu_hiệu disease* thủng màng_nhĩ *disease ở trẻ là gì ?
Nổi u hột ở mũi không thở được là dấu_hiệu bệnh gì ?	disease* Nổi u hột ở mũi không thở được *disease là dấu_hiệu bệnh gì ?
Phát_hiện khối_u bàng_quang thì có_thể điều_trị khỏi không ?	Phát_hiện disease* khối_u bàng_quang *disease thì có_thể điều_trị khỏi không ?
Phải làm_sao sau khi mổ xương vẫn không đi_lại được bình_thường ?	Phải làm_sao sau khi procedure* mổ xương *procedure vẫn không đi_lại được bình_thường ?
Sau sinh 10 tuần có quan_hệ được không ?	Sau sinh 10 tuần có quan_hệ được không ?
Bé gái vàng da 2 lòng bàn_tay và chân do đâu ?	Bé gái disease* vàng da *disease 2 lòng bàn_tay và chân do đâu ?
Trẻ xuất_hiện nốt nhỏ ở cổ có phải hạch không ?	Trẻ xuất_hiện nốt nhỏ ở cổ có phải disease* hạch *disease không ?
Trẻ sơ_sinh bị nhiễm_khuẩn phổi do vỡ ối non có chữa được không ?	Trẻ sơ_sinh bị disease* nhiễm_khuẩn phổi *disease do disease* vỡ ối non *disease có chữa được không ?
Sau phẫu_thuật lỗ tiểu thấp bị rò tiểu có sao không ?	Sau phẫu_thuật lỗ tiểu thấp bị disease* rò tiểu *disease có sao không ?
Tìm_hiểu phương_pháp khám lao xét_nghiệm máu tại Vinmec	Tìm_hiểu phương_pháp khám lao procedure* xét_nghiệm máu *procedure tại Vinmec
Thuốc huyết_áp nào ít tác_dụng phụ ?	drug* Thuốc huyết_áp *drug nào ít tác_dụng phụ ?
Viêm răng_khôn có mủ gây sốt không ?	disease* Viêm răng_khôn *disease có disease* mủ *disease gây disease* sốt *disease không ?
Hỏi_đáp : Rát da vùng đùi không rõ nguyên_nhân là dấu_hiệu bệnh gì ?	Hỏi_đáp : disease* Rát da vùng đùi *disease không rõ nguyên_nhân là dấu_hiệu bệnh gì ?
Dùng kháng_sinh dưới dạng tiêm nên ăn_uống thế_nào ?	Dùng drug* kháng_sinh drug* *drug dưới dạng tiêm *drug nên ăn_uống thế_nào ?
Ánh_sáng xanh có hại như_thế_nào đối_với điểm vàng của mắt ?	disease* Ánh_sáng xanh *disease có hại như_thế_nào đối_với điểm vàng của mắt ?
Bé đã điều_trị bệnh lỵ nhưng vẫn đi phân có máu phải làm_sao ?	Bé đã điều_trị bệnh disease* lỵ *disease nhưng vẫn disease* đi phân có máu *disease phải làm_sao ?
Giảm sưng ngứa khi bị viêm phụ_khoa như_thế_nào ?	Giảm disease* sưng *disease disease* ngứa *disease khi bị disease* viêm phụ_khoa *disease như_thế_nào ?
Có nên dùng thuốc để điều_trị viêm tuỷ xương ?	Có nên dùng drug* thuốc *drug để điều_trị disease* viêm tuỷ xương *disease ?
Ngủ_mê man , co_giật có phải biểu_hiện của Viêm não Nhật_Bản không ?	disease* Ngủ_mê man *disease , disease* co_giật *disease có phải biểu_hiện của disease* Viêm não Nhật_Bản *disease không ?
Khi nào có_thể chữa bàn_chân bị khoèo ở trẻ sơ_sinh ?	Khi nào có_thể chữa disease* bàn_chân bị khoèo *disease ở trẻ sơ_sinh ?
Trẻ 5 tháng ho nhiều , ngạt_mũi , hắt_hơi có phải biểu_hiện của dị_ứng thuốc ?	Trẻ 5 tháng disease* ho nhiều *disease , disease* ngạt_mũi *disease , disease* hắt_hơi *disease có phải biểu_hiện của disease* dị_ứng thuốc *disease ?
Trẻ 3 tháng tuổi rụng tóc , giật_mình khi ngủ có nên bổ_sung canxi không ?	Trẻ 3 tháng tuổi disease* rụng tóc *disease , disease* giật_mình khi ngủ *disease có nên bổ_sung drug* canxi *drug không ?
Chỉ_số nồng_độ HCG 158.0 mIU / ml có_thai không ?	Chỉ_số nồng_độ HCG 158.0 mIU / ml disease* có_thai *disease không ?
Triệt_sản nam_bằng thắt ống dẫn tinh : Ưu_điểm và nhược_điểm	Triệt_sản nam_bằng procedure* thắt ống dẫn tinh *procedure : Ưu_điểm và nhược_điểm
Bé có khỏi nhược cơ nếu được lọc huyết_thanh loại_bỏ kháng_thể tự miễn không ?	Bé có khỏi disease* nhược cơ *disease nếu được procedure* lọc huyết_thanh *procedure loại_bỏ kháng_thể tự miễn không ?
Hỏi_đáp : Trẻ sơ_sinh quấy đêm là do đâu ?	Hỏi_đáp : Trẻ sơ_sinh disease* quấy đêm *disease là do đâu ?
Xạ_trị K vòm bao_lâu lấy lại được vị_giác ?	procedure* Xạ_trị K vòm *procedure bao_lâu lấy lại được vị_giác ?
Nên uống thuốc gì để điều_hoà kinh_nguyệt ?	Nên uống thuốc gì để điều_hoà kinh_nguyệt ?
Chỉ_số phát_triển cơ_thể của bé gái 7 tuổi như_thế_nào là bình_thường ?	Chỉ_số phát_triển cơ_thể của bé gái 7 tuổi như_thế_nào là bình_thường ?
Viêm mao_mạch dị_ứng do thời_tiết điều_trị như_thế_nào ?	disease* Viêm mao_mạch dị_ứng *disease do thời_tiết điều_trị như_thế_nào ?
Chưa bị thuỷ_đậu liệu có bị zona hay không ?	Chưa bị disease* thuỷ_đậu *disease liệu có bị disease* zona *disease hay không ?
Đầu_gối chấn_thương do tai_nạn , hơn 1 năm vẫn không khỏi là do đâu ?	Đầu_gối disease* chấn_thương *disease do tai_nạn , hơn 1 năm vẫn không khỏi là do đâu ?
Mắc tràn dịch màng phổi cần điều_trị trong thời_gian bao_lâu ?	disease* Mắc tràn dịch màng phổi *disease cần điều_trị trong thời_gian bao_lâu ?
Nên làm gì khi vết mổ chảy dịch sau phẫu_thuật u máu ?	Nên làm gì khi vết mổ chảy dịch sau procedure* phẫu_thuật *procedure disease* u máu *disease ?
Sau sinh mổ 6 tháng chưa có kinh trở_lại có đáng lo ?	Sau sinh mổ 6 tháng disease* chưa có kinh trở_lại *disease có đáng lo ?
Đi_đại_tiện khó_chịu , không ra hết phân có phải mắc bệnh trực_tràng không ?	disease* Đi_đại_tiện khó_chịu *disease , disease* không ra hết phân *disease có phải mắc bệnh disease* trực_tràng *disease không ?
Rối_loạn kinh_nguyệt sau khi phá_thai 2 tháng có nguy_hiểm không ?	disease* Rối_loạn kinh_nguyệt *disease sau khi procedure* phá_thai *procedure 2 tháng có nguy_hiểm không ?
Tổn_thương đốt_sống L2 , chân_tay vẫn co duỗi , tiểu_tiện bình_thường và đầu_óc tỉnh_táo điều_trị thế_nào ?	disease* Tổn_thương đốt_sống L2 *disease , disease* chân_tay vẫn co duỗi *disease , disease* tiểu_tiện bình_thường *disease và disease* đầu_óc tỉnh_táo *disease điều_trị thế_nào ?
Điều_trị sỏi thận khi mang thai có bị sao không ?	Điều_trị disease* sỏi thận *disease khi mang thai có bị sao không ?
Viêm nướu ở người cao_tuổi nên uống thuốc nào ?	disease* Viêm nướu *disease ở người cao_tuổi nên uống thuốc nào ?
Trẻ bị sún răng_cửa có cần nhổ không ?	Trẻ bị disease* sún răng_cửa *disease có cần procedure* nhổ *procedure không ?
Vì sao phụ_nữ mang thai khi nhiễm sốt_rét lần 2 sẽ nhẹ hơn lần 1 ?	Vì sao phụ_nữ mang thai khi disease* nhiễm *disease disease* sốt_rét *disease lần 2 sẽ nhẹ hơn lần 1 ?
Chấn_thương tinh_hoàn do va_đập có sao không ?	disease* Chấn_thương tinh_hoàn *disease do va_đập có sao không ?
Cách điều_trị mụn nội_tiết là gì ?	Cách điều_trị disease* mụn nội_tiết *disease là gì ?
Rạn thận phải cần điều_trị như_thế_nào ?	disease* Rạn thận *disease phải cần điều_trị như_thế_nào ?
Trẻ 5 tuổi bị viêm amidan có nên cắt không ?	Trẻ 5 tuổi bị disease* viêm amidan *disease có nên cắt không ?
Đâu là nguyên_nhân khiến trẻ không chịu uống sữa ?	Đâu là nguyên_nhân khiến trẻ disease* không chịu uống sữa *disease ?
Mang thai sau sinh mổ 9 tháng có giữ được không ?	Mang thai sau sinh procedure* mổ *procedure 9 tháng có giữ được không ?
Nam_giới mắc bướu_cổ có ảnh_hưởng vấn_đề sinh_sản không ?	Nam_giới mắc disease* bướu_cổ *disease có ảnh_hưởng vấn_đề sinh_sản không ?
Điều_trị cong dương_vật bằng cách nào ?	Điều_trị disease* cong dương_vật *disease bằng cách nào ?
Huyết_áp không ổn_định có đáng lo không ?	disease* Huyết_áp không ổn_định *disease có đáng lo không ?
Trẻ đi phân xì_xoẹt nhiều lần có phải đi_ngoài không ?	Trẻ đi disease* phân xì_xoẹt nhiều lần *disease có phải disease* đi_ngoài *disease không ?
Trẻ sơ_sinh khó ngủ , quấy khóc là do đâu ?	Trẻ sơ_sinh disease* khó ngủ *disease , disease* quấy khóc *disease là do đâu ?
Ho có đờm trong 1 thời_gian dài là triệu_chứng của bệnh gì ?	disease* Ho có đờm *disease trong 1 thời_gian dài là triệu_chứng của bệnh gì ?
Viêm đường tiết_niệu kèm đau bụng_dưới có nguy_hiểm không ?	disease* Viêm đường tiết_niệu kèm đau bụng_dưới *disease có nguy_hiểm không ?
Thường_xuyên chóng_mặt , hoa mắt nên điều_trị thế_nào ?	Thường_xuyên disease* chóng_mặt *disease , disease* hoa mắt *disease nên điều_trị thế_nào ?
Tiêm phòng ở trẻ sơ_sinh có mẹ bị viêm gan B	procedure* Tiêm phòng *procedure ở trẻ sơ_sinh có mẹ bị disease* viêm gan B *disease
Trẻ hay khóc đêm và khó thở khi ngủ có phải do thiếu vitamin D ?	Trẻ hay disease* khóc đêm *disease và disease* khó thở khi ngủ *disease có phải do disease* thiếu vitamin D *disease ?
Chỉ_số tuyến_giáp cao khi mang thai tuần thứ 13 có ảnh_hưởng gì không ?	Chỉ_số tuyến_giáp cao khi disease* mang thai *disease tuần thứ 13 có ảnh_hưởng gì không ?
Trẻ sơ_sinh 8 ngày tuổi chưa rụng rốn , trong rốn có nước vàng có sao không ?	Trẻ sơ_sinh 8 ngày tuổi disease* chưa rụng rốn *disease , trong rốn có nước vàng có sao không ?
Có_thể cắt polyp đại_tràng không gây_mê được không ?	Có_thể procedure* cắt *procedure disease* polyp đại_tràng *disease không procedure* gây_mê *procedure được không ?
Điều_trị sẹo lồi sau phẫu_thuật cắt bao quy đầu như_thế_nào ?	Điều_trị disease* sẹo lồi *disease sau procedure* phẫu_thuật cắt bao quy đầu *procedure như_thế_nào ?
Bị nấc liên_tục là dấu_hiệu của bệnh_lý gì ?	disease* Bị nấc liên_tục *disease là dấu_hiệu của bệnh_lý gì ?
Khi nào có_thể dừng thuốc điều_trị viêm gan virus B ?	Khi nào có_thể dừng thuốc điều_trị disease* viêm gan virus B *disease ?
Phụ_nữ sau sinh có_thể uống được 2 loại canxi ostelin và procare không ?	Phụ_nữ sau sinh có_thể uống được 2 loại drug* canxi ostelin *drug và drug* procare *drug không ?
Hỏi_đáp : Thực_hiện thăm_khám sức_khoẻ tổng_quát ở Vinmec có gì khác ?	Hỏi_đáp : Thực_hiện procedure* thăm_khám sức_khoẻ tổng_quát *procedure ở Vinmec có gì khác ?
Sau khi thay khớp gối liệu còn có_thể chụp MRI khớp vai không ?	Sau khi procedure* thay khớp gối *procedure liệu còn có_thể procedure* chụp MRI *procedure khớp vai không ?
Má phải sưng nóng và đau dấu_hiệu bệnh gì ?	disease* Má phải sưng nóng *disease và disease* đau *disease dấu_hiệu bệnh gì ?
Bé đau vùng bụng_dưới cách rốn 5cm là bị sao ?	Bé disease* đau vùng bụng_dưới *disease cách rốn 5cm là bị sao ?
Trẻ 6 tuổi hay sờ dương_vật có đáng lo ?	Trẻ 6 tuổi hay disease* sờ dương_vật *disease có đáng lo ?
Đau bụng , ợ lên có nước , không_thể đi_ngoài là dấu_hiệu bệnh gì ?	disease* Đau bụng *disease , disease* ợ lên có nước *disease , disease* không_thể đi_ngoài *disease là dấu_hiệu bệnh gì ?
Điều_trị bệnh trĩ như_thế_nào ?	Điều_trị disease* bệnh trĩ *disease như_thế_nào ?
Trẻ bị ho , khụt_khịt mũi , đi_ngoài có_thể tiêm 6in1 và uống rota không ?	Trẻ bị disease* ho *disease , disease* khụt_khịt mũi *disease , disease* đi_ngoài *disease có_thể tiêm 6in1 và uống rota không ?
Chỉ_số KET trong mẫu xét_nghiệm nước_tiểu là 3,9 mmol / l nói lên điều gì ?	Chỉ_số KET trong mẫu procedure* xét_nghiệm nước_tiểu *procedure là 3,9 mmol / l nói lên điều gì ?
Có phải do bé bị thoát_vị bẹn , táo_bón , không hấp_thu được dinh_dưỡng nên không tăng cân ?	Có phải do bé bị disease* thoát_vị bẹn *disease , disease* táo_bón *disease , không hấp_thu được dinh_dưỡng nên disease* không tăng cân *disease ?
Tại_sao ít dùng adrenalin cho bệnh_nhân hen để cắt_cơn hen phế_quản ?	Tại_sao ít dùng drug* adrenalin *drug cho bệnh_nhân disease* hen *disease để procedure* cắt_cơn *procedure disease* hen phế_quản *disease ?
Bé bị ráy tai khô có_thể nhỏ nước muối sinh_lý để làm mềm không ?	Bé bị disease* ráy tai khô *disease có_thể nhỏ drug* nước muối sinh_lý *drug để làm mềm không ?
Vật sắc nhọn từ người nhiễm HIV đâm vào cơ_thể có nguy_cơ phơi nhiễm không ?	Vật sắc nhọn từ người nhiễm disease* HIV *disease đâm vào cơ_thể có nguy_cơ phơi nhiễm không ?
Kinh_nguyệt kéo_dài là bệnh gì và khắc_phục thế_nào ?	disease* Kinh_nguyệt kéo_dài *disease là bệnh gì và khắc_phục thế_nào ?
Xuất_hiện cục máu trên lưỡi và môi khi ăn là bệnh gì ?	Xuất_hiện disease* cục máu trên lưỡi và môi *disease khi ăn là bệnh gì ?
Thường_xuyên lo_lắng , run tay_chân , tim đập nhanh là dấu_hiệu bệnh gì ?	Thường_xuyên disease* lo_lắng *disease , disease* run tay_chân *disease , disease* tim đập nhanh *disease là dấu_hiệu bệnh gì ?
Làm thế_nào để biết mình có bị xuất_tinh chậm hay không ?	Làm thế_nào để biết mình có bị disease* xuất_tinh chậm *disease hay không ?
Chỉ tiêm mũi đầu vắc-xin 3 trong 1 đã mang thai có ảnh_hưởng gì không ?	Chỉ procedure* tiêm mũi đầu vắc-xin *procedure drug* 3 trong 1 *drug đã disease* mang thai *disease có ảnh_hưởng gì không ?
Tính tuổi thai dựa trên ngày quan_hệ và ngày rụng trứng	Tính tuổi thai dựa trên ngày quan_hệ và ngày rụng trứng
Xuất_hiện máu tại dương_vật sau thủ_dâm nhưng không đau có ảnh_hưởng đến sức_khoẻ không ?	Xuất_hiện disease* máu tại dương_vật *disease sau thủ_dâm nhưng không đau có ảnh_hưởng đến sức_khoẻ không ?
Đau_đầu kèm nôn sau điều_trị phình động_mạch não phải làm_sao ?	disease* Đau_đầu *disease kèm disease* nôn *disease sau điều_trị disease* phình động_mạch não *disease phải làm_sao ?
Đau răng_hàm kéo_theo nổi hạch dưới cằm có đáng lo ?	disease* Đau răng_hàm *disease kéo_theo disease* nổi hạch dưới cằm *disease có đáng lo ?
Dưới đáy lưỡi có vết sưng cứng gây đau là dấu_hiệu bệnh gì ?	disease* Dưới đáy lưỡi có vết sưng cứng gây đau *disease là dấu_hiệu bệnh gì ?
Dấu_hiệu nhận_biết hẹp động_mạch trong và ngoài sọ là gì ?	Dấu_hiệu nhận_biết disease* hẹp động_mạch trong và ngoài sọ *disease là gì ?
Có đờm và bị khô vùng hầu họng là dấu_hiệu bệnh gì ?	Có đờm và bị disease* khô vùng hầu họng *disease là dấu_hiệu bệnh gì ?
Nên bổ_sung loại vitamin D và kẽm nào cho nam_giới ở tuổi 29 ?	Nên bổ_sung loại drug* vitamin D và kẽm *drug nào cho nam_giới ở tuổi 29 ?
Bú sữa công_thức hoàn_toàn là nguyên_nhân khiến trẻ sơ_sinh đi_ngoài phân_xanh ?	Bú sữa công_thức hoàn_toàn là nguyên_nhân khiến trẻ sơ_sinh disease* đi_ngoài phân_xanh *disease ?
Bé uống thuốc điều_trị viêm họng vẫn còn sốt , đi_ngoài là do virus hay phản_ứng phụ của thuốc ?	Bé uống thuốc điều_trị disease* viêm họng *disease vẫn còn disease* sốt *disease , disease* đi_ngoài *disease là do virus hay phản_ứng phụ của thuốc ?
Tình_trạng đau nửa đầu là do đâu ?	Tình_trạng disease* đau nửa đầu *disease là do đâu ?
Vì sao thuốc chống phơi nhiễm 30 viên nhưng chỉ uống 28 viên ?	Vì sao drug* thuốc chống phơi nhiễm *drug 30 viên nhưng chỉ uống 28 viên ?
Viêm xung huyết niêm_mạc dạ_dày và dương_tính HP có nên điều_trị kháng_sinh ?	disease* Viêm xung huyết niêm_mạc dạ_dày *disease và disease* dương_tính HP *disease có nên điều_trị kháng_sinh ?
Phương_pháp nào điều_trị đau sau zona hiệu_quả nhất ?	Phương_pháp nào điều_trị disease* đau sau zona *disease hiệu_quả nhất ?
Cơ_thể thường mệt_mỏi , suy_nghĩ tiêu_cực , cảm_xúc lẫn_lộn là dấu_hiệu bệnh gì ?	Cơ_thể thường disease* mệt_mỏi *disease , disease* suy_nghĩ tiêu_cực *disease , disease* cảm_xúc lẫn_lộn *disease là dấu_hiệu bệnh gì ?
Trẻ 7 tháng rốn đỏ hơi ướt có sao không ?	Trẻ 7 tháng disease* rốn đỏ hơi ướt *disease có sao không ?
Bé 3 tuổi có hiện_tượng lấy hơi khi thở và thở_hắt là bị làm_sao ?	Bé 3 tuổi có hiện_tượng disease* lấy hơi khi thở *disease và disease* thở_hắt *disease là bị làm_sao ?
Khó thở , cảm_thấy vướng họng và ngủ không sâu giấc cảnh_báo bệnh_lý gì ?	disease* Khó thở *disease , disease* cảm_thấy vướng họng *disease và disease* ngủ không sâu giấc *disease cảnh_báo bệnh_lý gì ?
Có_thai sau khi tiêm phòng Rubella 2 tháng có sao không ?	disease* Có_thai *disease sau khi procedure* tiêm phòng *procedure disease* Rubella *disease 2 tháng có sao không ?
Đang mang thai có_thể đi nội_soi dạ_dày được không ?	Đang disease* mang thai *disease có_thể đi procedure* nội_soi dạ_dày *procedure được không ?
Viêm mũi xoang có đờm kèm nhức mắt phải làm_sao ?	disease* Viêm mũi xoang có đờm *disease kèm disease* nhức mắt *disease phải làm_sao ?
Bệnh tay_chân miệng có_thể gặp ở người_lớn không ?	Bệnh disease* tay_chân miệng *disease có_thể gặp ở người_lớn không ?
Chậm kinh , khí_hư màu trắng và ra nhiều có phải do viêm_nhiễm không ?	disease* Chậm kinh *disease , disease* khí_hư màu trắng và ra nhiều *disease có phải do viêm_nhiễm không ?
Thường_xuyên bị chuột_rút có phải do làm_việc nặng ?	Thường_xuyên bị disease* chuột_rút *disease có phải do làm_việc nặng ?
Trẻ 3 tuổi uống chung nước với người nhiễm HIV có bị lây_nhiễm không ?	Trẻ 3 tuổi uống chung nước với người nhiễm disease* HIV *disease có bị lây_nhiễm không ?
Bị ra mồ_hôi mặt nhiều và có cảm_giác nóng bừng , ngứa ở mặt là do đâu ?	Bị disease* ra mồ_hôi mặt nhiều *disease và có cảm_giác disease* nóng bừng *disease , disease* ngứa ở mặt *disease là do đâu ?
Đi_ngoài ra máu có cần nội_soi đại_tràng không ?	disease* Đi_ngoài ra máu *disease có cần procedure* nội_soi đại_tràng *procedure không ?
Làm thế_nào để điều_trị triệt_để bệnh hen_suyễn ?	Làm thế_nào để điều_trị triệt_để bệnh disease* hen_suyễn *disease ?
Đau bụng bên phải nhiều ngày liền có phải bị viêm ruột_thừa không ?	disease* Đau bụng *disease bên phải nhiều ngày liền có phải bị disease* viêm ruột_thừa *disease không ?
Đau vùng thượng_vị kèm ợ hơi , nóng rát cổ_họng có phải trào ngược dạ_dày ?	disease* Đau vùng thượng_vị *disease kèm disease* ợ hơi *disease , disease* nóng rát cổ_họng *disease có phải disease* trào ngược dạ_dày *disease ?
Viêm trợt niêm_mạc dạ_dày và viêm đại_tràng co thắt phải làm_sao ?	disease* Viêm trợt niêm_mạc dạ_dày *disease và disease* viêm đại_tràng *disease co thắt phải làm_sao ?
Quy_trình cấy que tránh thai được thực_hiện như_thế_nào ?	Quy_trình procedure* cấy que tránh thai *procedure được thực_hiện như_thế_nào ?
Mắc bệnh sùi mào_gà nên vệ_sinh như_thế_nào ?	Mắc disease* bệnh sùi mào_gà *disease nên vệ_sinh như_thế_nào ?
Cách điều_trị vết_thương do bỏng bô xe_máy	Cách procedure* điều_trị vết_thương do bỏng bô xe_máy *procedure
Bị u phổi di_căn sang xương nên điều_trị thế_nào cho hợp_lý ?	Bị disease* u phổi *disease disease* di_căn sang xương *disease nên điều_trị thế_nào cho hợp_lý ?
Đau bụng bên phải khi vận_động có nguy_hiểm không ?	disease* Đau bụng *disease bên phải khi vận_động có nguy_hiểm không ?
Trẻ sơ_sinh đi_ngoài sủi bọt , phân vàng , ngày 3 - 4 lần có phải là tiêu_chảy không ?	Trẻ sơ_sinh disease* đi_ngoài sủi bọt *disease , disease* phân vàng *disease , ngày 3 - 4 lần có phải là disease* tiêu_chảy *disease không ?
Thường_xuyên đau_đầu vùng sau tai phải là bệnh gì ?	Thường_xuyên disease* đau_đầu vùng sau tai phải *disease là bệnh gì ?
Bị ngã đập gáy vẫn nhận_thức được , chụp CT não bình_thường nhưng bị đau_đầu có làm_sao không ?	Bị ngã đập gáy vẫn nhận_thức được , procedure* chụp CT não *procedure bình_thường nhưng bị disease* đau_đầu *disease có làm_sao không ?
Đau mắt , nhức mỏi_mắt , nhìn mờ là dấu_hiệu bệnh gì ?	disease* Đau mắt *disease , disease* nhức mỏi_mắt *disease , disease* nhìn mờ *disease là dấu_hiệu bệnh gì ?
Trẻ đi_ngoài phân vàng nhão , đôi_lúc xanh có phải do đổi sữa nhiều lần ?	Trẻ đi_ngoài disease* phân vàng nhão , đôi_lúc xanh *disease có phải do đổi sữa nhiều lần ?
Bé 27 ngày tuổi , 3 ngày chưa đi_ngoài có sao không ?	Bé 27 ngày tuổi , disease* 3 ngày chưa đi_ngoài *disease có sao không ?
Tăng_Progesterone ở nam_giới có ảnh_hưởng gì không ?	disease* Tăng_Progesterone ở nam_giới *disease có ảnh_hưởng gì không ?
Khó nhai , không há miệng to được là dấu_hiệu bệnh gì ?	disease* Khó nhai *disease , disease* không há miệng to được *disease là dấu_hiệu bệnh gì ?
Xin bác_sĩ tư_vấn giúp tôi những triệu_chứng lâm_sàng của bệnh Sỏi đường mật trong_ngoài gan ?	Xin bác_sĩ tư_vấn giúp tôi những triệu_chứng lâm_sàng của bệnh disease* Sỏi đường mật trong_ngoài gan *disease ?
Những loại thuốc_tây điều_trị bệnh chàm tốt nhất	Những loại thuốc_tây điều_trị disease* bệnh chàm *disease tốt nhất
Tiểu nhiều lần , són kèm buốt là dấu_hiệu bệnh gì ?	disease* Tiểu nhiều lần *disease , disease* són kèm buốt *disease là dấu_hiệu bệnh gì ?
Có_thể uống canxi CalciDgold và sắt Fenulin uống cùng lúc được không ?	Có_thể uống drug* canxi CalciDgold *drug và drug* sắt Fenulin *drug uống cùng lúc được không ?
Rong kinh kéo_dài sau bóc u_xơ tử_cung , cấy que tránh thai có sao không ?	disease* Rong kinh kéo_dài *disease sau procedure* bóc u_xơ tử_cung *procedure , procedure* cấy que tránh thai *procedure có sao không ?
Chăm_sóc người bị gãy xương sườn kèm theo bệnh tiểu_đường như_thế_nào ?	Chăm_sóc người bị disease* gãy xương sườn *disease kèm theo disease* bệnh tiểu_đường *disease như_thế_nào ?
Tiếp_xúc với dịch sinh_lý của người nhiễm HIV có bị lây không ?	Tiếp_xúc với dịch sinh_lý của người nhiễm disease* HIV *disease có bị lây không ?
Thường_xuyên khó thở có nguy_cơ mắc bệnh_lý gì ?	Thường_xuyên disease* khó thở *disease có nguy_cơ mắc bệnh_lý gì ?
Điều_trị chứng đau nửa đầu thế_nào ?	Điều_trị chứng disease* đau nửa đầu *disease thế_nào ?
Đau cổ - vai - gáy một bên , thi_thoảng chảy_máu mũi , nuốt có cảm_giác vướng là bị sao ?	disease* Đau cổ - vai - gáy một bên *disease , thi_thoảng disease* chảy_máu mũi *disease , disease* nuốt có cảm_giác vướng *disease là bị sao ?
Thường_xuyên đau_đầu , căng_thẳng , cáu_gắt , nghĩ mình vô_dụng và ngủ ít là dấu_hiệu của bệnh_lý gì ?	Thường_xuyên disease* đau_đầu *disease , disease* căng_thẳng *disease , disease* cáu_gắt *disease , disease* nghĩ mình vô_dụng *disease và disease* ngủ ít *disease là dấu_hiệu của bệnh_lý gì ?
Nhân tuyến_giáp kích_thước 5mm có nguy_hiểm không ?	disease* Nhân tuyến_giáp kích_thước 5mm *disease có nguy_hiểm không ?
Bé dị_ứng đạm sữa bò , mẹ có ăn thịt bò và uống sữa bò được không ?	Bé disease* dị_ứng *disease đạm sữa bò , mẹ có ăn thịt bò và uống sữa bò được không ?
Mang thai 8 tuần dương_tính với HBsAg nên làm gì ?	disease* Mang thai *disease 8 tuần dương_tính với HBsAg nên làm gì ?
Thai_nhi mấy tuần tuổi thì có tim thai ?	Thai_nhi mấy tuần tuổi thì có tim thai ?
Khí_hư màu trắng trong suốt có sao không ?	disease* Khí_hư màu trắng trong suốt *disease có sao không ?
Tỷ_lệ khỏi bệnh viêm gan B cấp_tính có cao không ?	Tỷ_lệ khỏi bệnh disease* viêm gan B cấp_tính *disease có cao không ?
Dây hãm bao quy đầu ngắn có_thể phẫu_thuật cho dài ra không ?	disease* Dây hãm bao quy đầu ngắn *disease có_thể procedure* phẫu_thuật *procedure cho dài ra không ?
Trẻ bị viêm hạch phản_ứng có nặng không ?	Trẻ bị disease* viêm hạch *disease phản_ứng có nặng không ?
Mang thai 34 tuần , huyết_áp thất_thường có nên uống thuốc dự_phòng Aspirin liều thấp không ?	disease* Mang thai *disease 34 tuần , huyết_áp thất_thường có nên uống thuốc dự_phòng drug* Aspirin *drug liều thấp không ?
Đau_nhức răng không ăn được nên dùng thuốc gì ?	disease* Đau_nhức răng *disease không ăn được nên dùng drug* thuốc *drug gì ?
Thử que 2 vạch nhưng bị ngã ra máu , thử lại còn 1 vạch có phải đã sảy thai ?	Thử que 2 vạch nhưng bị disease* ngã ra máu *disease , thử lại còn 1 vạch có phải đã disease* sảy thai *disease ?
Bị bóng sút trúng vùng thái_dương , có vết bầm có sao không ?	Bị bóng sút trúng vùng thái_dương , có disease* vết bầm *disease có sao không ?
Sau 5 tháng phẫu_thuật hẹp khúc nối bể thận bẩm_sinh có_thể chạy bộ và tập_thể_dục được không ?	Sau 5 tháng procedure* phẫu_thuật hẹp khúc nối bể thận *procedure bẩm_sinh có_thể chạy bộ và tập_thể_dục được không ?
Bệnh khí phế thũng có nguy_hiểm không ?	Bệnh disease* khí phế thũng *disease có nguy_hiểm không ?
Thưa bác_sĩ , sau khi đăng_ký hiến tạng thì có_thể thay_đổi quyết_định không ạ ?	Thưa bác_sĩ , sau khi đăng_ký procedure* hiến tạng *procedure thì có_thể thay_đổi quyết_định không ạ ?
Đau ngực khi nuốt thức_ăn nguyên_nhân do đâu ?	disease* Đau ngực *disease khi nuốt thức_ăn nguyên_nhân do đâu ?
Xử_trí cơn đau tức ngực tại nhà như_thế_nào ?	Xử_trí cơn disease* đau tức ngực *disease tại nhà như_thế_nào ?
Nên dùng phương_pháp điều_trị nào với người bị liệt dây thanh_quản ?	Nên dùng phương_pháp điều_trị nào với người bị disease* liệt dây thanh_quản *disease ?
Nên uống thuốc tránh thai hàng ngày vào thời_điểm nào ?	Nên uống drug* thuốc tránh thai *drug hàng ngày vào thời_điểm nào ?
Trẻ trớ ra nước là hiện_tượng gì ?	Trẻ disease* trớ ra nước *disease là hiện_tượng gì ?
